Country,Timescale,Vendor,Units
Czech Republic,2010 Q3,Fujitsu Siemens,2924.742632
Slovakia,2010 Q4,Dell,2525.011404
Slovakia,2010 Q4,Lenovo,2648.973238
Czech Republic,2010 Q3,ASUS,1323.507139
Czech Republic,2010 Q4,Apple,266.7584542
Slovakia,2010 Q3,Hewlett-Packard,2505.010854
Slovakia,2010 Q4,Acer,4.669835539
Slovakia,2010 Q4,Fujitsu Siemens,134.6914108
Czech Republic,2010 Q3,Dell,8267.033639
Slovakia,2010 Q4,ASUS,26.07985635
Czech Republic,2010 Q4,Dell,11455.09902
Czech Republic,2010 Q3,Lenovo,4343.112732
Czech Republic,2010 Q4,Hewlett-Packard,4205.018526
Czech Republic,2010 Q3,Acer,9570.718105
Slovakia,2010 Q3,Fujitsu Siemens,107.1375207
Slovakia,2010 Q3,Apple,529.2660577
Slovakia,2010 Q4,Hewlett-Packard,5001.504421
Slovakia,2010 Q3,Acer,1806.205378
Czech Republic,2010 Q3,Apple,218.2171404
Czech Republic,2010 Q4,ASUS,1190.772949
Slovakia,2010 Q3,Lenovo,459.9392434
Slovakia,2010 Q3,Dell,2137.856193
Czech Republic,2010 Q4,Fujitsu Siemens,2499.507088
Slovakia,2010 Q4,Apple,101.5495842
Czech Republic,2010 Q3,Hewlett-Packard,11050.90046
Czech Republic,2010 Q4,Acer,1502.421083
Czech Republic,2010 Q4,Lenovo,1293.532261
Slovakia,2010 Q3,ASUS,54.99802235
